species,beak_type,plumage_color,eye_color,habitat,feeding_type,body_size,Unnamed: 7,рост,семейство,вид,тип_клюва,цвет_оперения,цвет_глаз,среда_обитания,размер_тела,скорость,длина_клюва
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,247.0,,,Врановые,,,Коричневый,Красный ,,,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,161.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,154.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,599.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,191.0,,,,,,,,,,,
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,238.0,,,Врановые,,,Коричневый,Красный ,,,,
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,194.0,,,,,,,,,,,
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1250.0,,,,,,,,,,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,268.0,,,,,,,,,,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,156.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,671.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,263.0,,,,,,,,,,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,258.0,,,,,,,,,,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,164.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,84.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
